"No.","Time","Source","Destination","Protocol","Length","Info"
"30946","77.582436","132.72.140.46","132.72.81.121","DNS","212","Standard query response 0x5bf8 A www.timemaps.com A 52.208.197.252 NS human.ezoicns.com NS horse.ezoicns.com NS moose.ezoicns.com NS coral.ezoicns.com A 205.251.192.219 A 205.251.194.155"
"31017","78.107936","132.72.81.121","132.72.140.46","DNS","74","Standard query 0xa056 A www.dsigns.com"
"31031","78.185026","132.72.140.46","132.72.81.121","DNS","179","Standard query response 0xa056 A www.dsigns.com A 35.214.130.99 NS ns4lqx.name.com NS ns3gxy.name.com NS ns2fln.name.com NS ns1kwy.name.com"
"31066","78.408376","132.72.81.121","132.72.140.46","DNS","79","Standard query 0x8cc3 A www.musicdirect.com"
"31096","78.502090","132.72.81.121","132.72.140.45","DNS","79","Standard query 0x8cc3 A www.musicdirect.com"
"31123","78.530789","132.72.140.46","132.72.81.121","DNS","179","Standard query response 0x8cc3 A www.musicdirect.com A 104.20.49.240 A 104.20.48.240 NS glen.ns.cloudflare.com NS isla.ns.cloudflare.com A 173.245.58.119"
"31127","78.558249","132.72.81.121","132.72.140.46","DNS","73","Standard query 0x116a A retipster.com"
"31144","78.633450","132.72.140.45","132.72.81.121","DNS","251","Standard query response 0x8cc3 A www.musicdirect.com A 104.20.48.240 A 104.20.49.240 NS isla.ns.cloudflare.com NS glen.ns.cloudflare.com A 173.245.59.169 AAAA 2606:4700:58::adf5:3ba9 A 173.245.58.119 AAAA 2606:4700:50::adf5:3a77"
"31145","78.634438","132.72.140.46","132.72.81.121","DNS","213","Standard query response 0x116a A retipster.com A 34.250.60.251 NS dugong.ezoicns.com NS insect.ezoicns.com NS beagle.ezoicns.com NS weasel.ezoicns.com A 205.251.192.77 A 205.251.195.240"
"31219","79.088090","132.72.81.121","132.72.140.46","DNS","78","Standard query 0xaea4 A structuretech1.com"
